Date : 2022-12-04 16:34:28
Directory : /Users/marcel/dev/devakademie/projekte/git/join
Total : 97 files,  8756 codes, 913 comments, 1412 blanks, all 11081 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/search.svg                        | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/selectArrow.svg                   | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/summary.svg                       | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/urgent-high-filled.svg            | XML                |         12 |          0 |          1 |         13 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/urgent.svg                        | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/board.html                               | HTML               |         73 |          0 |          6 |         79 |
| /Users/marcel/dev/devakademie/projekte/git/join/contacts.html                            | HTML               |         98 |          0 |         41 |        139 |
| /Users/marcel/dev/devakademie/projekte/git/join/datenschutz.html                         | HTML               |         36 |          0 |          4 |         40 |
| /Users/marcel/dev/devakademie/projekte/git/join/email_sent.html                          | HTML               |         23 |          0 |          8 |         31 |
| /Users/marcel/dev/devakademie/projekte/git/join/favicon/site.webmanifest                 | JSON               |          1 |          0 |          0 |          1 |
| /Users/marcel/dev/devakademie/projekte/git/join/forgot_password.html                     | HTML               |         44 |          4 |         22 |         70 |
| /Users/marcel/dev/devakademie/projekte/git/join/help.html                                | HTML               |         36 |          0 |          8 |         44 |
| /Users/marcel/dev/devakademie/projekte/git/join/impressum.html                           | HTML               |         51 |          0 |          6 |         57 |
| /Users/marcel/dev/devakademie/projekte/git/join/index.html                               | HTML               |         63 |          5 |         29 |         97 |
| /Users/marcel/dev/devakademie/projekte/git/join/reset.html                               | HTML               |         50 |          4 |         25 |         79 |
| /Users/marcel/dev/devakademie/projekte/git/join/script/addTask.js                        | JavaScript         |        515 |         82 |         79 |        676 |
| /Users/marcel/dev/devakademie/projekte/git/join/script/contacts.js                       | JavaScript         |        233 |        118 |        113 |        464 |
| /Users/marcel/dev/devakademie/projekte/git/join/script/drag_and_drop.js                  | JavaScript         |        361 |        222 |         70 |        653 |
| /Users/marcel/dev/devakademie/projekte/git/join/script/html.js                           | JavaScript         |        190 |         90 |         27 |        307 |
| /Users/marcel/dev/devakademie/projekte/git/join/script/login.js                          | JavaScript         |        343 |        164 |        109 |        616 |
| /Users/marcel/dev/devakademie/projekte/git/join/script/mini_backend.js                   | JavaScript         |         79 |          7 |         23 |        109 |
| /Users/marcel/dev/devakademie/projekte/git/join/script/search.js                         | JavaScript         |         18 |          0 |          3 |         21 |
| /Users/marcel/dev/devakademie/projekte/git/join/script/summary.js                        | JavaScript         |        180 |         95 |         67 |        342 |
| /Users/marcel/dev/devakademie/projekte/git/join/script/tasks.json                        | JSON with Comments |         72 |          0 |          0 |         72 |
| /Users/marcel/dev/devakademie/projekte/git/join/script/templates.js                      | JavaScript         |         25 |          3 |          6 |         34 |
| /Users/marcel/dev/devakademie/projekte/git/join/script/test.js                           | JavaScript         |         12 |          0 |         17 |         29 |
| /Users/marcel/dev/devakademie/projekte/git/join/sign_up.html                             | HTML               |         55 |          4 |         24 |         83 |
| /Users/marcel/dev/devakademie/projekte/git/join/style/addTask.css                        | CSS                |        423 |          0 |        103 |        526 |
| /Users/marcel/dev/devakademie/projekte/git/join/style/background-colors.css              | CSS                |         40 |          0 |         10 |         50 |
| /Users/marcel/dev/devakademie/projekte/git/join/style/board.css                          | CSS                |        430 |         63 |         86 |        579 |
| /Users/marcel/dev/devakademie/projekte/git/join/style/contactMobile.css                  | CSS                |        174 |          0 |         56 |        230 |
| /Users/marcel/dev/devakademie/projekte/git/join/style/contacts.css                       | CSS                |        366 |         10 |         86 |        462 |
| /Users/marcel/dev/devakademie/projekte/git/join/style/fonts.css                          | CSS                |        108 |          9 |          0 |        117 |
| /Users/marcel/dev/devakademie/projekte/git/join/style/legalNotice.css                    | CSS                |         59 |          0 |         20 |         79 |
| /Users/marcel/dev/devakademie/projekte/git/join/style/login.css                          | CSS                |        221 |         11 |         69 |        301 |
| /Users/marcel/dev/devakademie/projekte/git/join/style/loginMobile.css                    | CSS                |        148 |         13 |         54 |        215 |
| /Users/marcel/dev/devakademie/projekte/git/join/style/sideBar.css                        | CSS                |        173 |          0 |         37 |        210 |
| /Users/marcel/dev/devakademie/projekte/git/join/style/summary.css                        | CSS                |        177 |          0 |         38 |        215 |
| /Users/marcel/dev/devakademie/projekte/git/join/style/summaryMobile.css                  | CSS                |         88 |          0 |         25 |        113 |
| /Users/marcel/dev/devakademie/projekte/git/join/success_reset.html                       | HTML               |         22 |          0 |          8 |         30 |
| /Users/marcel/dev/devakademie/projekte/git/join/summary.html                             | HTML               |        112 |          1 |         51 |        164 |
| /Users/marcel/dev/devakademie/projekte/git/join/templates/addTaskTemplate.html           | HTML               |        104 |          4 |          6 |        114 |
| /Users/marcel/dev/devakademie/projekte/git/join/templates/sideBar.html                   | HTML               |         38 |          0 |          9 |         47 |
| Total                                                                                    |                    |      8,756 |        913 |      1,412 |     11,081 |
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
