"filename", "language", "HTML", "XML", "JavaScript", "JSON with Comments", "CSS", "JSON", "comment", "blank", "total"
"/Users/marcel/dev/devakademie/projekte/git/join/assets/close.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/marcel/dev/devakademie/projekte/git/join/assets/contact-break-line.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/contacts.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/createTask.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/email-sent.svg", "XML", 0, 11, 0, 0, 0, 0, 0, 1, 12
"/Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-100.svg", "XML", 0, 350, 0, 0, 0, 0, 0, 1, 351
"/Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-200.svg", "XML", 0, 350, 0, 0, 0, 0, 0, 1, 351
"/Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-300.svg", "XML", 0, 350, 0, 0, 0, 0, 0, 1, 351
"/Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-500.svg", "XML", 0, 351, 0, 0, 0, 0, 0, 1, 352
"/Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-600.svg", "XML", 0, 351, 0, 0, 0, 0, 0, 1, 352
"/Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-700.svg", "XML", 0, 352, 0, 0, 0, 0, 0, 1, 353
"/Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-800.svg", "XML", 0, 350, 0, 0, 0, 0, 0, 1, 351
"/Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-900.svg", "XML", 0, 349, 0, 0, 0, 0, 0, 1, 350
"/Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-regular.svg", "XML", 0, 351, 0, 0, 0, 0, 0, 1, 352
"/Users/marcel/dev/devakademie/projekte/git/join/assets/gray-line-vertical.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/help.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/marcel/dev/devakademie/projekte/git/join/assets/join-logo-white.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/marcel/dev/devakademie/projekte/git/join/assets/join-logo.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/marcel/dev/devakademie/projekte/git/join/assets/legalNotice.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/marcel/dev/devakademie/projekte/git/join/assets/little-check.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 1, 4
